"full_name_paper","lat","long","tri_prev","tri_np","tri_examined","tri_nneg","tri_prev_logit","alt","bio12","lakes","canals","roads","railroads"
"Bukoma",0.0865,33.9595,0.958,70,73.0688935281837,3.06889352818372,3.12727815968749,1171,1041,23957.759765625,0,1855.32269751879,34323.4699040042
"St Cecilia",0.09733,33.973,0.691,50,72.3589001447178,22.3589001447178,0.804898546869924,1185,1041,24879.212890625,0,927.661134343193,33395.8008362513
"Lunyofu",0.08167,33.9805,0.917,67,73.0643402399128,6.06434023991275,2.40236686445987,1142,1001,23036.30859375,0,0,32468.154028849
"Musoma Budalangi",0.06217,33.9818,0.937,82,87.513340448239,5.51334044823905,2.69964855584689,1140,1001,21193.40234375,0,0,32468.1656268434
"Bubango",0.10633,33.9903,0.695,51,73.3812949640288,22.3812949640288,0.82370006895738,1169,1041,25800.6640625,0,0,31540.4706146739
"Busembe",0.1905,34.0083,0.554,41,74.0072202166065,33.0072202166065,0.216945734727219,1150,1210,35015.1875,0,0,29685.0396563562
"Busijo",0.1995,34.0122,0.281,15,53.3807829181495,38.3807829181495,-0.939406688387301,1161,1210,35936.640625,0,0,28757.3682690385
"Bujwanga",0.22233,34.0212,0.368,22,59.7826086956522,37.7826086956522,-0.540706455977927,1155,1237,38700.99609375,0,0,27829.667370262
"Namunyweda",0.1835,34.03,0.265,13,49.0566037735849,36.0566037735849,-1.02004067322661,1251,1210,35015.1875,0,0,26902.0671886194
"Sigulu",0.28033,34.06,0.817,60,73.4394124847001,13.4394124847001,1.49625294201858,1153,1356,45151.1640625,0,0,23191.2871404476
"Agenga",0.24367,34.0637,0.138,9,65.2173913043478,56.2173913043478,-1.83190158550649,1296,1404,41465.35546875,0,0,23191.3485413427
"Namalo",0.14483,34.0702,0.486,36,74.0740740740741,38.0740740740741,-0.0559146415546714,1184,1149,30407.92578125,0,0,22263.8265240837
"Rumbiye",0.2135,34.0732,0.379,30,79.155672823219,49.155672823219,-0.493694876851052,1227,1404,37779.546875,0,0,22263.7460595425
"Bwangangi",0.346,34.0853,0.566,42,74.2049469964664,32.2049469964664,0.265649544102778,1152,1505,52522.78515625,0,0,20408.2040343733
"Buduta",0.20683,34.0892,0.826,62,75.0605326876513,13.0605326876513,1.55763947430645,1216,1306,36858.09375,0,0,20408.4446087381
"Namuduru",0.17617,34.0925,0.424,31,73.1132075471698,42.1132075471698,-0.306274205463934,1210,1306,34093.734375,0,0,19480.8162800686
"Madola",0.242,34.0968,0.7679,43,55.996874593046,12.996874593046,1.19659120305611,1228,1464,41465.35546875,0,0,19480.7327747881
"Nambuku",0.318,34.11,0.296,16,54.054054054054,38.054054054054,-0.866318901833982,1207,1499,49767.07421875,0,0,17625.3115631099
"Sagania",0.30517,34.1275,0.335,26,77.6119402985075,51.6119402985075,-0.685556508830788,1231,1661,47996.2734375,0,0,15770.0404618238
"Busulere",0.3235,34.1292,0.094,7,74.468085106383,67.468085106383,-2.26564452377298,1216,1661,49836.19140625,0,0,15770.0156091294
"Nyakhobi",0.31867,34.1333,0.313,18,57.5079872204473,39.5079872204473,-0.786031101682196,1216,1661,49836.19140625,0,0,15770.0156091294
"Kabwodo",0.3095,34.1758,0.546,41,75.0915750915751,34.0915750915751,0.184621777703557,1336,1731,49545.48046875,0,0,10204.1358949118
"Mundaya",0.32,34.1793,0.275,13,47.2727272727273,34.2727272727273,-0.969300557188103,1338,1731,50453.99609375,0,0,10204.1277471299
"Nyakasumbi",-0.08,34.23,0.1824,54,296.052631578947,242.052631578947,-1.50007114180921,1274,1121,10799.173828125,0,0,4638.30771841602
"Bar Konwino",-0.13,34.235,0.1091,18,164.986251145738,146.986251145738,-2.09986729488757,1212,1036,8348.9404296875,0,0,3710.64032701879
"Uloma",-0.077933,34.2565,0.2583,39,150.987224157956,111.987224157956,-1.05472314864072,1260,1198,8528.4150390625,0,0,1855.32308736647
"Nyawita",-0.063817,34.2804,0.1287,13,101.010101010101,88.010101010101,-1.91240223463516,1260,1198,8252.8564453125,0,0,0
"Siger",-0.120418,34.3458,0.146,7,47.9452054794521,40.9452054794521,-1.76622457208023,1289,1377,921.452331542969,0,0,0
"Ujuang'a",-0.16936,34.347,0.103,4,38.8349514563107,34.8349514563107,-2.16422687382916,1208,1112,0,0,0,0
"Rambugu",-0.094055,34.354,0.25,10,40,30,-1.09851228866811,1321,1377,3685.80932617188,0,0,0
"Rambira",-0.104715,34.3557,0.16,8,50,42,-1.65812807660353,1293,1377,2764.35693359375,0,0,0
"Ndwara",-0.17747,34.3561,0.256,10,39.0625,29.0625,-1.06676359035353,1177,1112,0,0,0,0
"Lwak Mixed",-0.13654,34.3567,0.171,7,40.9356725146199,33.9356725146199,-1.57845659863263,1247,1222,0,0,0,0
"Maugo",-0.14751,34.3626,0.206,7,33.9805825242718,26.9805825242718,-1.34910729245755,1226,1222,0,0,0,0
"Memba",-0.15717,34.3647,0.118,4,33.8983050847458,29.8983050847458,-2.01140743154113,1213,1222,0,0,0,0
"Mabinju",-0.1795,34.369,0.139,5,35.9712230215827,30.9712230215827,-1.82352057129704,1169,1112,0,0,0,0
"Atemo",-0.13498,34.3691,0.125,4,32,28,-1.94581014905531,1210,1222,0,0,0,0
"Kitambo",-0.08823,34.37,0.125,5,40,35,-1.94581014905531,1298,1377,4607.26171875,0,0,0
"St Lazarus",-0.069794,34.3729,0.143,6,41.958041958042,35.958041958042,-1.79049328833787,1335,1447,6450.16650390625,0,0,0
"Got Bondo",-0.10359,34.3751,0.276,8,28.9855072463768,20.9855072463768,-0.964290526668566,1290,1409,2764.35693359375,0,0,0
"Majango",-0.12567,34.3754,0.029,1,34.4827586206897,33.4827586206897,-3.51093063830485,1226,1216,0,0,0,0
"Ongielo",-0.173728,34.3794,0.125,5,40,35,-1.94581014905531,1176,1126,0,0,0,0
"Saradidi",-0.12298,34.3826,0.128,5,39.0625,34.0625,-1.91865915998936,1255,1409,921.452331542969,0,0,0
"Kaminogedo",-0.149608,34.3827,0.135,5,37.037037037037,32.037037037037,-1.85735472849345,1188,1216,0,0,0,0
"Ramba",-0.080215,34.3851,0.389,14,35.9897172236504,21.9897172236504,-0.451417615553149,1335,1572,5528.7138671875,0,0,0
"Rariw",-0.178254,34.3866,0.158,6,37.9746835443038,31.9746835443038,-1.67308498121536,1157,1126,0,0,0,0
"Raliew",-0.178254,34.3866,0.175,7,40,33,-1.55049741241117,1157,1126,0,0,0,0
"Kamalumbe",-0.13778,34.3883,0.111,3,27.027027027027,24.027027027027,-2.08046703420157,1209,1216,0,0,0,0
"Nguka",-0.149338,34.3928,0.143,7,48.9510489510489,41.9510489510489,-1.79049328833787,1189,1216,0,0,0,0
"Powo",-0.128487,34.3952,0.051,2,39.2156862745098,37.2156862745098,-2.9234831658856,1213,1216,0,0,0,0
"Kusa",-0.07504,34.3954,0.649,24,36.979969183359,12.979969183359,0.614746493238224,1308,1572,5528.7138671875,0,0,0
"Okiro",-0.161663,34.3968,0.188,9,47.8723404255319,38.8723404255319,-1.46295837733173,1160,1216,0,0,0,0
"Aduoyo",-0.172688,34.397,0.306,11,35.9477124183007,24.9477124183007,-0.818786858554424,1151,1126,0,0,0,0
"Gunda Arut",-0.093704,34.3991,0.182,6,32.967032967033,26.967032967033,-1.50275564952595,1294,1409,3685.80932617188,0,0,0
"Luoro",-0.10376,34.3992,0.154,6,38.961038961039,32.961038961039,-1.70346675719259,1297,1409,2764.35693359375,0,0,0
"Wera",-0.149884,34.4081,0.111,4,36.036036036036,32.036036036036,-2.08046703420157,1181,1216,0,0,0,0
"Alara",-0.135736,34.4085,0.152,7,46.0526315789474,39.0526315789474,-1.71890011494563,1213,1216,0,0,0,0
"Kandhere",-0.133078,34.42,0.1,4,40,36,-2.19712457733622,1212,1241,0,0,0,0
"Koibem",0.158115,34.9502,0.049,9,183.673469387755,174.673469387755,-2.96559376443476,1765,1928,41905.015625,0,0,0
"Kabaskei",0.149085,34.9536,0.129,17,131.782945736434,114.782945736434,-1.90972957249083,1788,1928,41220.65234375,0,0,0
"Kiborgok",0.203809,34.9746,0.055,11,200,189,-2.84375174226127,1799,1814,47325.75390625,0,0,0
